"","race_code","sex_code","ethnic_code","age_group","party_cd","gender_code","congressional_dist","presidential","n","n_registered"
"1","A","F","HL","18-24","DEM","F",2,0,2,22
"2","A","F","HL","18-24","DEM","F",4,0,3,26
"3","A","F","HL","18-24","DEM","F",7,0,1,2
"4","A","F","HL","18-24","DEM","F",9,0,1,13
"5","A","F","HL","18-24","DEM","F",12,0,1,13
"6","A","F","HL","18-24","LIB","F",5,0,1,2
"7","A","F","HL","18-24","REP","F",2,0,0,2
"8","A","F","HL","18-24","REP","F",3,1,1,2
"9","A","F","HL","18-24","REP","F",4,0,0,2
"10","A","F","HL","18-24","REP","F",8,0,0,1
"11","A","F","HL","18-24","REP","F",13,0,0,1
"12","A","F","HL","18-24","UNA","F",2,0,4,24
"13","A","F","HL","18-24","UNA","F",4,0,5,36
"14","A","F","HL","18-24","UNA","F",9,0,2,10
"15","A","F","HL","18-24","UNA","F",12,0,2,10
"16","A","F","HL","25-44","DEM","F",2,0,1,26
"17","A","F","HL","25-44","DEM","F",4,0,4,52
"18","A","F","HL","25-44","DEM","F",4,1,0,2
"19","A","F","HL","25-44","DEM","F",5,0,1,2
"20","A","F","HL","25-44","DEM","F",5,1,1,4
"21","A","F","HL","25-44","DEM","F",6,0,0,4
"22","A","F","HL","25-44","DEM","F",7,0,5,22
"23","A","F","HL","25-44","DEM","F",8,0,1,2
"24","A","F","HL","25-44","DEM","F",8,1,1,2
"25","A","F","HL","25-44","DEM","F",9,0,7,24
"26","A","F","HL","25-44","DEM","F",10,0,0,6
"27","A","F","HL","25-44","DEM","F",10,1,0,2
"28","A","F","HL","25-44","DEM","F",12,0,6,20
"29","A","F","HL","25-44","DEM","F",13,0,0,2
"30","A","F","HL","25-44","DEM","F",13,1,0,2
"31","A","F","HL","25-44","REP","F",2,0,2,5
"32","A","F","HL","25-44","REP","F",3,1,1,2
"33","A","F","HL","25-44","REP","F",4,0,2,5
"34","A","F","HL","25-44","REP","F",7,0,1,6
"35","A","F","HL","25-44","REP","F",8,0,2,16
"36","A","F","HL","25-44","REP","F",8,1,2,12
"37","A","F","HL","25-44","REP","F",9,0,0,2
"38","A","F","HL","25-44","UNA","F",1,0,1,2
"39","A","F","HL","25-44","UNA","F",2,0,6,28
"40","A","F","HL","25-44","UNA","F",3,1,1,4
"41","A","F","HL","25-44","UNA","F",4,0,6,28
"42","A","F","HL","25-44","UNA","F",8,0,1,20
"43","A","F","HL","25-44","UNA","F",8,1,3,22
"44","A","F","HL","25-44","UNA","F",9,0,2,13
"45","A","F","HL","25-44","UNA","F",12,0,2,13
"46","A","F","HL","45-64","DEM","F",1,0,2,8
"47","A","F","HL","45-64","DEM","F",2,0,4,18
"48","A","F","HL","45-64","DEM","F",3,0,1,4
"49","A","F","HL","45-64","DEM","F",4,0,4,18
"50","A","F","HL","45-64","DEM","F",7,0,1,2
"51","A","F","HL","45-64","DEM","F",8,0,4,12
"52","A","F","HL","45-64","DEM","F",8,1,4,12
"53","A","F","HL","45-64","DEM","F",9,0,2,7
"54","A","F","HL","45-64","DEM","F",10,0,1,3
"55","A","F","HL","45-64","DEM","F",12,0,1,5
"56","A","F","HL","45-64","DEM","F",13,0,1,7
"57","A","F","HL","45-64","DEM","F",13,1,1,2
"58","A","F","HL","45-64","REP","F",2,0,1,5
"59","A","F","HL","45-64","REP","F",4,0,1,5
"60","A","F","HL","45-64","REP","F",7,0,4,8
"61","A","F","HL","45-64","REP","F",7,1,1,2
"62","A","F","HL","45-64","REP","F",8,0,2,5
"63","A","F","HL","45-64","REP","F",8,1,2,4
"64","A","F","HL","45-64","REP","F",9,0,0,1
"65","A","F","HL","45-64","REP","F",10,0,1,2
"66","A","F","HL","45-64","REP","F",11,0,1,2
"67","A","F","HL","45-64","REP","F",11,1,1,2
"68","A","F","HL","45-64","UNA","F",1,0,1,2
"69","A","F","HL","45-64","UNA","F",2,0,2,10
"70","A","F","HL","45-64","UNA","F",3,0,1,4
"71","A","F","HL","45-64","UNA","F",3,1,1,2
"72","A","F","HL","45-64","UNA","F",4,0,6,22
"73","A","F","HL","45-64","UNA","F",5,0,1,2
"74","A","F","HL","45-64","UNA","F",5,1,1,3
"75","A","F","HL","45-64","UNA","F",7,0,1,4
"76","A","F","HL","45-64","UNA","F",8,0,3,10
"77","A","F","HL","45-64","UNA","F",8,1,3,6
"78","A","F","HL","45-64","UNA","F",9,0,2,7
"79","A","F","HL","45-64","UNA","F",10,0,2,4
"80","A","F","HL","45-64","UNA","F",10,1,0,1
"81","A","F","HL","45-64","UNA","F",11,0,1,2
"82","A","F","HL","45-64","UNA","F",11,1,1,2
"83","A","F","HL","45-64","UNA","F",12,0,2,7
"84","A","F","HL","45-64","UNA","F",13,0,1,2
"85","A","F","HL","45-64","UNA","F",13,1,1,2
"86","A","F","HL","65+","DEM","F",2,0,1,9
"87","A","F","HL","65+","DEM","F",4,0,2,11
"88","A","F","HL","65+","DEM","F",8,0,1,2
"89","A","F","HL","65+","DEM","F",9,0,2,5
"90","A","F","HL","65+","DEM","F",12,0,2,5
"91","A","F","HL","65+","REP","F",2,0,0,6
"92","A","F","HL","65+","REP","F",3,0,1,2
"93","A","F","HL","65+","REP","F",4,0,0,6
"94","A","F","HL","65+","REP","F",8,1,1,2
"95","A","F","HL","65+","UNA","F",2,0,2,10
"96","A","F","HL","65+","UNA","F",3,0,1,2
"97","A","F","HL","65+","UNA","F",4,0,2,10
"98","A","F","HL","65+","UNA","F",8,0,1,2
"99","A","F","HL","65+","UNA","F",8,1,2,4
"100","A","F","HL","65+","UNA","F",9,0,0,3
"101","A","F","HL","65+","UNA","F",12,0,0,3
"102","A","F","HL","65+","UNA","F",13,0,1,2
"103","A","F","HL","65+","UNA","F",13,1,1,2
"104","A","F","NL","18-24","DEM","F",1,0,11,89
"105","A","F","NL","18-24","DEM","F",2,0,118,551
"106","A","F","NL","18-24","DEM","F",3,0,9,121
"107","A","F","NL","18-24","DEM","F",3,1,7,44
"108","A","F","NL","18-24","DEM","F",4,0,424,2201
"109","A","F","NL","18-24","DEM","F",4,1,4,12
"110","A","F","NL","18-24","DEM","F",5,0,25,227
"111","A","F","NL","18-24","DEM","F",5,1,23,134
"112","A","F","NL","18-24","DEM","F",6,0,12,75
"113","A","F","NL","18-24","DEM","F",7,0,11,118
"114","A","F","NL","18-24","DEM","F",8,0,22,160
"115","A","F","NL","18-24","DEM","F",8,1,22,112
"116","A","F","NL","18-24","DEM","F",9,0,80,506
"117","A","F","NL","18-24","DEM","F",10,0,19,157
"118","A","F","NL","18-24","DEM","F",10,1,11,54
"119","A","F","NL","18-24","DEM","F",11,0,27,124
"120","A","F","NL","18-24","DEM","F",11,1,22,78
"121","A","F","NL","18-24","DEM","F",12,0,68,420
"122","A","F","NL","18-24","DEM","F",13,0,19,145
"123","A","F","NL","18-24","DEM","F",13,1,20,94
"124","A","F","NL","18-24","GRE","F",9,0,0,1
"125","A","F","NL","18-24","GRE","F",12,0,0,1
"126","A","F","NL","18-24","LIB","F",2,0,0,11
"127","A","F","NL","18-24","LIB","F",4,0,1,27
"128","A","F","NL","18-24","LIB","F",6,0,0,4
"129","A","F","NL","18-24","LIB","F",8,1,1,4
"130","A","F","NL","18-24","LIB","F",10,0,0,4
"131","A","F","NL","18-24","LIB","F",13,1,1,2
"132","A","F","NL","18-24","REP","F",1,0,1,23
"133","A","F","NL","18-24","REP","F",2,0,17,104
"134","A","F","NL","18-24","REP","F",3,0,10,107
"135","A","F","NL","18-24","REP","F",3,1,7,46
"136","A","F","NL","18-24","REP","F",4,0,32,220
"137","A","F","NL","18-24","REP","F",5,0,9,47
"138","A","F","NL","18-24","REP","F",5,1,6,40
"139","A","F","NL","18-24","REP","F",6,0,2,18
"140","A","F","NL","18-24","REP","F",7,0,7,42
"141","A","F","NL","18-24","REP","F",7,1,1,2
"142","A","F","NL","18-24","REP","F",8,0,11,77
"143","A","F","NL","18-24","REP","F",8,1,9,56
"144","A","F","NL","18-24","REP","F",9,0,15,119
"145","A","F","NL","18-24","REP","F",10,0,6,40
"146","A","F","NL","18-24","REP","F",10,1,2,12
"147","A","F","NL","18-24","REP","F",11,0,10,45
"148","A","F","NL","18-24","REP","F",11,1,4,18
"149","A","F","NL","18-24","REP","F",12,0,6,66
"150","A","F","NL","18-24","REP","F",13,0,8,48
"151","A","F","NL","18-24","REP","F",13,1,4,16
"152","A","F","NL","18-24","UNA","F",1,0,15,125
"153","A","F","NL","18-24","UNA","F",2,0,159,864
"154","A","F","NL","18-24","UNA","F",3,0,22,273
"155","A","F","NL","18-24","UNA","F",3,1,11,78
"156","A","F","NL","18-24","UNA","F",4,0,442,2582
"157","A","F","NL","18-24","UNA","F",4,1,2,10
"158","A","F","NL","18-24","UNA","F",5,0,34,443
"159","A","F","NL","18-24","UNA","F",5,1,24,258
"160","A","F","NL","18-24","UNA","F",6,0,11,87
"161","A","F","NL","18-24","UNA","F",7,0,29,190
"162","A","F","NL","18-24","UNA","F",7,1,2,26
"163","A","F","NL","18-24","UNA","F",8,0,28,347
"164","A","F","NL","18-24","UNA","F",8,1,36,224
"165","A","F","NL","18-24","UNA","F",9,0,91,731
"166","A","F","NL","18-24","UNA","F",10,0,23,271
"167","A","F","NL","18-24","UNA","F",10,1,11,108
"168","A","F","NL","18-24","UNA","F",11,0,18,174
"169","A","F","NL","18-24","UNA","F",11,1,12,84
"170","A","F","NL","18-24","UNA","F",12,0,68,538
"171","A","F","NL","18-24","UNA","F",13,0,27,279
"172","A","F","NL","18-24","UNA","F",13,1,17,112
"173","A","F","NL","25-44","DEM","F",1,0,18,266
"174","A","F","NL","25-44","DEM","F",2,0,315,1656
"175","A","F","NL","25-44","DEM","F",3,0,36,419
"176","A","F","NL","25-44","DEM","F",3,1,25,106
"177","A","F","NL","25-44","DEM","F",4,0,756,5646
"178","A","F","NL","25-44","DEM","F",4,1,6,33
"179","A","F","NL","25-44","DEM","F",5,0,41,608
"180","A","F","NL","25-44","DEM","F",5,1,56,466
"181","A","F","NL","25-44","DEM","F",6,0,24,175
"182","A","F","NL","25-44","DEM","F",7,0,33,300
"183","A","F","NL","25-44","DEM","F",7,1,7,34
"184","A","F","NL","25-44","DEM","F",8,0,97,837
"185","A","F","NL","25-44","DEM","F",8,1,111,570
"186","A","F","NL","25-44","DEM","F",9,0,302,1953
"187","A","F","NL","25-44","DEM","F",10,0,54,504
"188","A","F","NL","25-44","DEM","F",10,1,23,158
"189","A","F","NL","25-44","DEM","F",11,0,61,371
"190","A","F","NL","25-44","DEM","F",11,1,42,190
"191","A","F","NL","25-44","DEM","F",12,0,232,1458
"192","A","F","NL","25-44","DEM","F",13,0,59,549
"193","A","F","NL","25-44","DEM","F",13,1,49,239
"194","A","F","NL","25-44","LIB","F",1,0,0,3
"195","A","F","NL","25-44","LIB","F",2,0,4,21
"196","A","F","NL","25-44","LIB","F",3,0,0,3
"197","A","F","NL","25-44","LIB","F",4,0,8,61
"198","A","F","NL","25-44","LIB","F",8,0,2,14
"199","A","F","NL","25-44","LIB","F",9,0,3,27
"200","A","F","NL","25-44","LIB","F",11,0,1,6
"201","A","F","NL","25-44","LIB","F",12,0,3,25
"202","A","F","NL","25-44","LIB","F",13,0,1,6
"203","A","F","NL","25-44","LIB","F",13,1,1,4
"204","A","F","NL","25-44","REP","F",1,0,13,158
"205","A","F","NL","25-44","REP","F",2,0,74,479
"206","A","F","NL","25-44","REP","F",3,0,30,378
"207","A","F","NL","25-44","REP","F",3,1,20,110
"208","A","F","NL","25-44","REP","F",4,0,100,959
"209","A","F","NL","25-44","REP","F",4,1,2,8
"210","A","F","NL","25-44","REP","F",5,0,21,261
"211","A","F","NL","25-44","REP","F",5,1,21,194
"212","A","F","NL","25-44","REP","F",6,0,10,65
"213","A","F","NL","25-44","REP","F",7,0,31,230
"214","A","F","NL","25-44","REP","F",7,1,6,24
"215","A","F","NL","25-44","REP","F",8,0,55,535
"216","A","F","NL","25-44","REP","F",8,1,58,376
"217","A","F","NL","25-44","REP","F",9,0,86,775
"218","A","F","NL","25-44","REP","F",10,0,30,239
"219","A","F","NL","25-44","REP","F",10,1,11,72
"220","A","F","NL","25-44","REP","F",11,0,19,143
"221","A","F","NL","25-44","REP","F",11,1,8,64
"222","A","F","NL","25-44","REP","F",12,0,50,490
"223","A","F","NL","25-44","REP","F",13,0,39,276
"224","A","F","NL","25-44","REP","F",13,1,19,96
"225","A","F","NL","25-44","UNA","F",1,0,35,351
"226","A","F","NL","25-44","UNA","F",2,0,482,2483
"227","A","F","NL","25-44","UNA","F",3,0,68,799
"228","A","F","NL","25-44","UNA","F",3,1,42,216
"229","A","F","NL","25-44","UNA","F",4,0,860,6291
"230","A","F","NL","25-44","UNA","F",4,1,14,45
"231","A","F","NL","25-44","UNA","F",5,0,66,1022
"232","A","F","NL","25-44","UNA","F",5,1,78,656
"233","A","F","NL","25-44","UNA","F",6,0,33,252
"234","A","F","NL","25-44","UNA","F",7,0,51,630
"235","A","F","NL","25-44","UNA","F",7,1,10,54
"236","A","F","NL","25-44","UNA","F",8,0,162,1483
"237","A","F","NL","25-44","UNA","F",8,1,191,1016
"238","A","F","NL","25-44","UNA","F",9,0,431,2848
"239","A","F","NL","25-44","UNA","F",10,0,93,874
"240","A","F","NL","25-44","UNA","F",10,1,33,254
"241","A","F","NL","25-44","UNA","F",11,0,63,516
"242","A","F","NL","25-44","UNA","F",11,1,47,232
"243","A","F","NL","25-44","UNA","F",12,0,290,1964
"244","A","F","NL","25-44","UNA","F",13,0,92,757
"245","A","F","NL","25-44","UNA","F",13,1,56,265
"246","A","F","NL","45-64","DEM","F",1,0,28,136
"247","A","F","NL","45-64","DEM","F",2,0,206,844
"248","A","F","NL","45-64","DEM","F",3,0,38,217
"249","A","F","NL","45-64","DEM","F",3,1,26,76
"250","A","F","NL","45-64","DEM","F",4,0,450,1892
"251","A","F","NL","45-64","DEM","F",4,1,7,25
"252","A","F","NL","45-64","DEM","F",5,0,23,179
"253","A","F","NL","45-64","DEM","F",5,1,28,139
"254","A","F","NL","45-64","DEM","F",6,0,12,58
"255","A","F","NL","45-64","DEM","F",7,0,46,216
"256","A","F","NL","45-64","DEM","F",7,1,12,40
"257","A","F","NL","45-64","DEM","F",8,0,75,440
"258","A","F","NL","45-64","DEM","F",8,1,81,304
"259","A","F","NL","45-64","DEM","F",9,0,173,969
"260","A","F","NL","45-64","DEM","F",10,0,33,188
"261","A","F","NL","45-64","DEM","F",10,1,8,49
"262","A","F","NL","45-64","DEM","F",11,0,54,259
"263","A","F","NL","45-64","DEM","F",11,1,41,134
"264","A","F","NL","45-64","DEM","F",12,0,114,653
"265","A","F","NL","45-64","DEM","F",13,0,48,273
"266","A","F","NL","45-64","DEM","F",13,1,28,115
"267","A","F","NL","45-64","GRE","F",9,0,0,1
"268","A","F","NL","45-64","GRE","F",12,0,0,1
"269","A","F","NL","45-64","LIB","F",2,0,4,12
"270","A","F","NL","45-64","LIB","F",4,0,6,24
"271","A","F","NL","45-64","LIB","F",6,0,0,1
"272","A","F","NL","45-64","LIB","F",8,1,2,4
"273","A","F","NL","45-64","LIB","F",9,0,2,14
"274","A","F","NL","45-64","LIB","F",10,0,0,1
"275","A","F","NL","45-64","LIB","F",12,0,2,14
"276","A","F","NL","45-64","REP","F",1,0,34,138
"277","A","F","NL","45-64","REP","F",2,0,118,498
"278","A","F","NL","45-64","REP","F",3,0,89,412
"279","A","F","NL","45-64","REP","F",3,1,41,130
"280","A","F","NL","45-64","REP","F",4,0,168,776
"281","A","F","NL","45-64","REP","F",4,1,2,12
"282","A","F","NL","45-64","REP","F",5,0,24,148
"283","A","F","NL","45-64","REP","F",5,1,16,85
"284","A","F","NL","45-64","REP","F",6,0,13,62
"285","A","F","NL","45-64","REP","F",7,0,49,248
"286","A","F","NL","45-64","REP","F",7,1,10,32
"287","A","F","NL","45-64","REP","F",8,0,102,536
"288","A","F","NL","45-64","REP","F",8,1,93,390
"289","A","F","NL","45-64","REP","F",9,0,160,763
"290","A","F","NL","45-64","REP","F",10,0,38,206
"291","A","F","NL","45-64","REP","F",10,1,2,21
"292","A","F","NL","45-64","REP","F",11,0,33,167
"293","A","F","NL","45-64","REP","F",11,1,15,64
"294","A","F","NL","45-64","REP","F",12,0,78,409
"295","A","F","NL","45-64","REP","F",13,0,52,279
"296","A","F","NL","45-64","REP","F",13,1,19,68
"297","A","F","NL","45-64","UNA","F",1,0,34,191
"298","A","F","NL","45-64","UNA","F",2,0,410,1621
"299","A","F","NL","45-64","UNA","F",3,0,72,388
"300","A","F","NL","45-64","UNA","F",3,1,23,100
"301","A","F","NL","45-64","UNA","F",4,0,707,2974
"302","A","F","NL","45-64","UNA","F",4,1,11,33
"303","A","F","NL","45-64","UNA","F",5,0,42,266
"304","A","F","NL","45-64","UNA","F",5,1,41,166
"305","A","F","NL","45-64","UNA","F",6,0,21,109
"306","A","F","NL","45-64","UNA","F",7,0,67,312
"307","A","F","NL","45-64","UNA","F",7,1,10,38
"308","A","F","NL","45-64","UNA","F",8,0,156,780
"309","A","F","NL","45-64","UNA","F",8,1,130,512
"310","A","F","NL","45-64","UNA","F",9,0,314,1521
"311","A","F","NL","45-64","UNA","F",10,0,60,375
"312","A","F","NL","45-64","UNA","F",10,1,10,62
"313","A","F","NL","45-64","UNA","F",11,0,63,297
"314","A","F","NL","45-64","UNA","F",11,1,35,134
"315","A","F","NL","45-64","UNA","F",12,0,200,998
"316","A","F","NL","45-64","UNA","F",13,0,83,416
"317","A","F","NL","45-64","UNA","F",13,1,32,125
"318","A","F","NL","65+","DEM","F",1,0,23,86
"319","A","F","NL","65+","DEM","F",2,0,60,271
"320","A","F","NL","65+","DEM","F",3,0,14,88
"321","A","F","NL","65+","DEM","F",3,1,4,24
"322","A","F","NL","65+","DEM","F",4,0,141,584
"323","A","F","NL","65+","DEM","F",4,1,4,14
"324","A","F","NL","65+","DEM","F",5,0,11,61
"325","A","F","NL","65+","DEM","F",5,1,7,36
"326","A","F","NL","65+","DEM","F",6,0,2,19
"327","A","F","NL","65+","DEM","F",7,0,15,97
"328","A","F","NL","65+","DEM","F",7,1,4,22
"329","A","F","NL","65+","DEM","F",8,0,29,203
"330","A","F","NL","65+","DEM","F",8,1,26,132
"331","A","F","NL","65+","DEM","F",9,0,55,318
"332","A","F","NL","65+","DEM","F",10,0,13,81
"333","A","F","NL","65+","DEM","F",10,1,3,16
"334","A","F","NL","65+","DEM","F",11,0,22,130
"335","A","F","NL","65+","DEM","F",11,1,17,58
"336","A","F","NL","65+","DEM","F",12,0,39,201
"337","A","F","NL","65+","DEM","F",13,0,18,103
"338","A","F","NL","65+","DEM","F",13,1,11,50
"339","A","F","NL","65+","LIB","F",9,0,0,3
"340","A","F","NL","65+","LIB","F",12,0,0,3
"341","A","F","NL","65+","REP","F",1,0,9,35
"342","A","F","NL","65+","REP","F",2,0,37,151
"343","A","F","NL","65+","REP","F",3,0,50,202
"344","A","F","NL","65+","REP","F",3,1,12,48
"345","A","F","NL","65+","REP","F",4,0,61,269
"346","A","F","NL","65+","REP","F",4,1,4,14
"347","A","F","NL","65+","REP","F",5,0,6,45
"348","A","F","NL","65+","REP","F",5,1,7,39
"349","A","F","NL","65+","REP","F",6,0,4,21
"350","A","F","NL","65+","REP","F",7,0,10,85
"351","A","F","NL","65+","REP","F",7,1,2,12
"352","A","F","NL","65+","REP","F",8,0,40,227
"353","A","F","NL","65+","REP","F",8,1,30,136
"354","A","F","NL","65+","REP","F",9,0,50,236
"355","A","F","NL","65+","REP","F",10,0,16,83
"356","A","F","NL","65+","REP","F",10,1,1,13
"357","A","F","NL","65+","REP","F",11,0,21,93
"358","A","F","NL","65+","REP","F",11,1,9,32
"359","A","F","NL","65+","REP","F",12,0,25,135
"360","A","F","NL","65+","REP","F",13,0,17,86
"361","A","F","NL","65+","REP","F",13,1,9,30
"362","A","F","NL","65+","UNA","F",1,0,9,65
"363","A","F","NL","65+","UNA","F",2,0,68,324
"364","A","F","NL","65+","UNA","F",3,0,23,133
"365","A","F","NL","65+","UNA","F",3,1,10,38
"366","A","F","NL","65+","UNA","F",4,0,134,650
"367","A","F","NL","65+","UNA","F",4,1,6,18
"368","A","F","NL","65+","UNA","F",5,0,12,83
"369","A","F","NL","65+","UNA","F",5,1,9,34
"370","A","F","NL","65+","UNA","F",6,0,4,31
"371","A","F","NL","65+","UNA","F",7,0,24,96
"372","A","F","NL","65+","UNA","F",7,1,5,18
"373","A","F","NL","65+","UNA","F",8,0,45,257
"374","A","F","NL","65+","UNA","F",8,1,36,154
"375","A","F","NL","65+","UNA","F",9,0,63,392
"376","A","F","NL","65+","UNA","F",10,0,17,97
"377","A","F","NL","65+","UNA","F",10,1,4,14
"378","A","F","NL","65+","UNA","F",11,0,27,114
"379","A","F","NL","65+","UNA","F",11,1,13,46
"380","A","F","NL","65+","UNA","F",12,0,42,266
"381","A","F","NL","65+","UNA","F",13,0,24,124
"382","A","F","NL","65+","UNA","F",13,1,9,36
"383","A","F","UN","18-24","DEM","F",1,0,5,21
"384","A","F","UN","18-24","DEM","F",2,0,31,153
"385","A","F","UN","18-24","DEM","F",3,0,4,17
"386","A","F","UN","18-24","DEM","F",3,1,5,10
"387","A","F","UN","18-24","DEM","F",4,0,105,603
"388","A","F","UN","18-24","DEM","F",4,1,1,4
"389","A","F","UN","18-24","DEM","F",5,0,5,30
"390","A","F","UN","18-24","DEM","F",5,1,7,34
"391","A","F","UN","18-24","DEM","F",6,0,2,15
"392","A","F","UN","18-24","DEM","F",7,0,8,37
"393","A","F","UN","18-24","DEM","F",8,0,7,69
"394","A","F","UN","18-24","DEM","F",8,1,7,52
"395","A","F","UN","18-24","DEM","F",9,0,17,114
"396","A","F","UN","18-24","DEM","F",10,0,2,15
"397","A","F","UN","18-24","DEM","F",10,1,2,16
"398","A","F","UN","18-24","DEM","F",11,0,7,44
"399","A","F","UN","18-24","DEM","F",11,1,6,32
"400","A","F","UN","18-24","DEM","F",12,0,14,96
"401","A","F","UN","18-24","DEM","F",13,0,5,28
"402","A","F","UN","18-24","DEM","F",13,1,8,38
"403","A","F","UN","18-24","LIB","F",2,0,0,1
"404","A","F","UN","18-24","LIB","F",3,0,1,2
"405","A","F","UN","18-24","LIB","F",4,0,0,1
"406","A","F","UN","18-24","LIB","F",5,0,1,2
"407","A","F","UN","18-24","LIB","F",9,0,0,2
"408","A","F","UN","18-24","LIB","F",11,1,1,4
"409","A","F","UN","18-24","LIB","F",12,0,0,2
"410","A","F","UN","18-24","REP","F",1,0,2,5
"411","A","F","UN","18-24","REP","F",2,0,2,24
"412","A","F","UN","18-24","REP","F",3,0,3,17
"413","A","F","UN","18-24","REP","F",3,1,2,6
"414","A","F","UN","18-24","REP","F",4,0,2,24
"415","A","F","UN","18-24","REP","F",5,1,2,12
"416","A","F","UN","18-24","REP","F",6,0,0,5
"417","A","F","UN","18-24","REP","F",7,0,2,14
"418","A","F","UN","18-24","REP","F",8,0,3,22
"419","A","F","UN","18-24","REP","F",8,1,5,30
"420","A","F","UN","18-24","REP","F",9,0,3,20
"421","A","F","UN","18-24","REP","F",10,0,0,6
"422","A","F","UN","18-24","REP","F",10,1,1,6
"423","A","F","UN","18-24","REP","F",11,0,3,24
"424","A","F","UN","18-24","REP","F",11,1,4,18
"425","A","F","UN","18-24","REP","F",12,0,2,14
"426","A","F","UN","18-24","REP","F",13,0,2,5
"427","A","F","UN","18-24","REP","F",13,1,1,2
"428","A","F","UN","18-24","UNA","F",1,0,1,13
"429","A","F","UN","18-24","UNA","F",2,0,31,230
"430","A","F","UN","18-24","UNA","F",3,0,3,31
"431","A","F","UN","18-24","UNA","F",3,1,4,16
"432","A","F","UN","18-24","UNA","F",4,0,86,682
"433","A","F","UN","18-24","UNA","F",4,1,1,3
"434","A","F","UN","18-24","UNA","F",5,0,4,53
"435","A","F","UN","18-24","UNA","F",5,1,7,33
"436","A","F","UN","18-24","UNA","F",6,0,2,15
"437","A","F","UN","18-24","UNA","F",7,0,4,44
"438","A","F","UN","18-24","UNA","F",7,1,2,10
"439","A","F","UN","18-24","UNA","F",8,0,8,87
"440","A","F","UN","18-24","UNA","F",8,1,10,74
"441","A","F","UN","18-24","UNA","F",9,0,13,191
"442","A","F","UN","18-24","UNA","F",10,0,7,74
"443","A","F","UN","18-24","UNA","F",10,1,6,31
"444","A","F","UN","18-24","UNA","F",11,0,8,68
"445","A","F","UN","18-24","UNA","F",11,1,4,52
"446","A","F","UN","18-24","UNA","F",12,0,9,150
"447","A","F","UN","18-24","UNA","F",13,0,3,36
"448","A","F","UN","18-24","UNA","F",13,1,4,23
"449","A","F","UN","25-44","DEM","F",1,0,10,119
"450","A","F","UN","25-44","DEM","F",2,0,142,812
"451","A","F","UN","25-44","DEM","F",3,0,13,184
"452","A","F","UN","25-44","DEM","F",3,1,18,60
"453","A","F","UN","25-44","DEM","F",4,0,296,2570
"454","A","F","UN","25-44","DEM","F",4,1,6,20
"455","A","F","UN","25-44","DEM","F",5,0,13,146
"456","A","F","UN","25-44","DEM","F",5,1,23,145
"457","A","F","UN","25-44","DEM","F",6,0,8,82
"458","A","F","UN","25-44","DEM","F",7,0,18,170
"459","A","F","UN","25-44","DEM","F",7,1,4,26
"460","A","F","UN","25-44","DEM","F",8,0,49,423
"461","A","F","UN","25-44","DEM","F",8,1,56,322
"462","A","F","UN","25-44","DEM","F",9,0,102,669
"463","A","F","UN","25-44","DEM","F",10,0,20,188
"464","A","F","UN","25-44","DEM","F",10,1,12,67
"465","A","F","UN","25-44","DEM","F",11,0,31,188
"466","A","F","UN","25-44","DEM","F",11,1,18,102
"467","A","F","UN","25-44","DEM","F",12,0,77,554
"468","A","F","UN","25-44","DEM","F",13,0,24,241
"469","A","F","UN","25-44","DEM","F",13,1,24,158
"470","A","F","UN","25-44","LIB","F",2,0,2,12
"471","A","F","UN","25-44","LIB","F",4,0,4,22
"472","A","F","UN","25-44","LIB","F",9,0,2,6
"473","A","F","UN","25-44","REP","F",1,0,11,48
"474","A","F","UN","25-44","REP","F",2,0,31,244
"475","A","F","UN","25-44","REP","F",3,0,19,142
"476","A","F","UN","25-44","REP","F",3,1,12,50
"477","A","F","UN","25-44","REP","F",4,0,47,490
"478","A","F","UN","25-44","REP","F",5,0,9,69
"479","A","F","UN","25-44","REP","F",5,1,11,60
"480","A","F","UN","25-44","REP","F",6,0,5,25
"481","A","F","UN","25-44","REP","F",7,0,14,117
"482","A","F","UN","25-44","REP","F",7,1,1,14
"483","A","F","UN","25-44","REP","F",8,0,26,244
"484","A","F","UN","25-44","REP","F",8,1,30,178
"485","A","F","UN","25-44","REP","F",9,0,34,257
"486","A","F","UN","25-44","REP","F",10,0,14,78
"487","A","F","UN","25-44","REP","F",10,1,4,22
"488","A","F","UN","25-44","REP","F",11,0,12,74
"489","A","F","UN","25-44","REP","F",11,1,8,40
"490","A","F","UN","25-44","REP","F",12,0,20,193
"491","A","F","UN","25-44","REP","F",13,0,22,139
"492","A","F","UN","25-44","REP","F",13,1,15,82
"493","A","F","UN","25-44","UNA","F",1,0,13,135
"494","A","F","UN","25-44","UNA","F",2,0,200,1173
"495","A","F","UN","25-44","UNA","F",3,0,25,297
"496","A","F","UN","25-44","UNA","F",3,1,21,100
"497","A","F","UN","25-44","UNA","F",4,0,327,2904
"498","A","F","UN","25-44","UNA","F",4,1,4,23
"499","A","F","UN","25-44","UNA","F",5,0,23,306
"500","A","F","UN","25-44","UNA","F",5,1,26,238
"501","A","F","UN","25-44","UNA","F",6,0,8,84
"502","A","F","UN","25-44","UNA","F",7,0,34,348
"503","A","F","UN","25-44","UNA","F",7,1,9,32
"504","A","F","UN","25-44","UNA","F",8,0,85,708
"505","A","F","UN","25-44","UNA","F",8,1,102,520
