,County[18],Clinton percentage,Clinton Votes,Trump percentage,Trump Votes,Johnson percentage,Johnson Votes,Write-in percentage,Write-in Votes,Stein percentage,Stein Votes,Totals
65,Edgecombe, 0.6519 ," 16,224.0000 ", 0.3320 ," 8,261.0000 ", 0.0114 , 284.0000 , 0.0043 , 106.0000 , 0.0004 , 11.0000 ," 24,886.00 "
67,Forsyth, 0.5298 ," 94,185.0000 ", 0.4261 ," 75,751.0000 ", 0.0301 ," 5,358.0000 ", 0.0140 ," 2,492.0000 ", -   , -   ," 177,786.00 "
69,Franklin, 0.4239 ," 12,874.0000 ", 0.5390 ," 16,368.0000 ", 0.0256 , 777.0000 , 0.0097 , 296.0000 , 0.0017 , 53.0000 ," 30,368.00 "
71,Gaston, 0.3233 ," 31,177.0000 ", 0.6409 ," 61,798.0000 ", 0.0254 ," 2,445.0000 ", 0.0091 , 873.0000 , 0.0014 , 138.0000 ," 96,431.00 "
73,Gates, 0.4423 ," 2,385.0000 ", 0.5330 ," 2,874.0000 ", 0.0200 , 108.0000 , 0.0046 , 25.0000 , -   , -   ," 5,392.00 "
75,Graham, 0.1839 , 739.0000 , 0.7882 ," 3,167.0000 ", 0.0177 , 71.0000 , 0.0102 , 41.0000 , -   , -   ," 4,018.00 "
77,Granville, 0.4719 ," 12,909.0000 ", 0.4969 ," 13,591.0000 ", 0.0218 , 596.0000 , 0.0079 , 215.0000 , 0.0015 , 42.0000 ," 27,353.00 "
79,Greene, 0.4453 ," 3,605.0000 ", 0.5403 ," 4,374.0000 ", 0.0105 , 85.0000 , 0.0033 , 27.0000 , 0.0005 , 4.0000 ," 8,095.00 "
81,Guilford, 0.5798 ," 149,248.0000 ", 0.3810 ," 98,062.0000 ", 0.0262 ," 6,754.0000 ", 0.0104 ," 2,667.0000 ", 0.0026 , 674.0000 ," 257,405.00 "
83,Halifax, 0.6257 ," 15,748.0000 ", 0.3588 ," 9,031.0000 ", 0.0115 , 290.0000 , 0.0039 , 98.0000 , -   , -   ," 25,167.00 "
85,Harnett, 0.3633 ," 16,737.0000 ", 0.5995 ," 27,614.0000 ", 0.0272 ," 1,252.0000 ", 0.0084 , 389.0000 , 0.0016 , 73.0000 ," 46,065.00 "
87,Haywood, 0.3408 ," 10,473.0000 ", 0.6160 ," 18,929.0000 ", 0.0295 , 905.0000 , 0.0099 , 303.0000 , 0.0038 , 117.0000 ," 30,727.00 "
89,Henderson, 0.3408 ," 19,827.0000 ", 0.6155 ," 35,807.0000 ", 0.0280 ," 1,626.0000 ", 0.0118 , 687.0000 , 0.0039 , 227.0000 ," 58,174.00 "
91,Hertford, 0.6784 ," 6,910.0000 ", 0.3042 ," 3,099.0000 ", 0.0131 , 133.0000 , 0.0043 , 44.0000 , -   , -   ," 10,186.00 "
93,Hoke, 0.5335 ," 9,725.0000 ", 0.4257 ," 7,759.0000 ", 0.0317 , 577.0000 , 0.0077 , 140.0000 , 0.0015 , 27.0000 ," 18,184.00 "
95,Hyde, 0.4188 , 965.0000 , 0.5590 ," 1,288.0000 ", 0.0182 , 42.0000 , 0.0035 , 8.0000 , 0.0004 , 1.0000 ," 2,304.00 "
97,Iredell, 0.2996 ," 24,734.0000 ", 0.6631 ," 54,754.0000 ", 0.0265 ," 2,185.0000 ", 0.0091 , 754.0000 , 0.0017 , 140.0000 ," 82,567.00 "
99,Jackson, 0.4115 ," 7,564.0000 ", 0.5280 ," 9,706.0000 ", 0.0399 , 734.0000 , 0.0146 , 268.0000 , 0.0060 , 110.0000 ," 18,382.00 "
101,Johnston, 0.3317 ," 28,362.0000 ", 0.6359 ," 54,372.0000 ", 0.0274 ," 2,347.0000 ", 0.0037 , 314.0000 , 0.0013 , 112.0000 ," 85,507.00 "
103,Jones, 0.4021 ," 2,065.0000 ", 0.5792 ," 2,974.0000 ", 0.0115 , 59.0000 , 0.0072 , 37.0000 , -   , -   ," 5,135.00 "
105,Lee, 0.4174 ," 10,469.0000 ", 0.5466 ," 13,712.0000 ", 0.0273 , 684.0000 , 0.0076 , 191.0000 , 0.0011 , 28.0000 ," 25,084.00 "
107,Lenoir, 0.4645 ," 12,091.0000 ", 0.5141 ," 13,381.0000 ", 0.0152 , 395.0000 , 0.0062 , 162.0000 , -   , -   ," 26,029.00 "
109,Lincoln, 0.2473 ," 9,897.0000 ", 0.7197 ," 28,806.0000 ", 0.0243 , 971.0000 , 0.0076 , 305.0000 , 0.0011 , 44.0000 ," 40,023.00 "
111,Macon, 0.2750 ," 4,876.0000 ", 0.6838 ," 12,127.0000 ", 0.0263 , 467.0000 , 0.0129 , 228.0000 , 0.0020 , 36.0000 ," 17,734.00 "
113,Madison, 0.3484 ," 3,926.0000 ", 0.6019 ," 6,783.0000 ", 0.0298 , 336.0000 , 0.0091 , 103.0000 , 0.0107 , 121.0000 ," 11,269.00 "
115,Martin, 0.4886 ," 5,846.0000 ", 0.4929 ," 5,897.0000 ", 0.0138 , 165.0000 , 0.0039 , 47.0000 , 0.0008 , 9.0000 ," 11,964.00 "
117,McDowell, 0.2348 ," 4,667.0000 ", 0.7330 ," 14,568.0000 ", 0.0199 , 396.0000 , 0.0115 , 229.0000 , 0.0008 , 15.0000 ," 19,875.00 "
119,Mecklenburg, 0.6229 ," 294,562.0000 ", 0.3289 ," 155,518.0000 ", 0.0328 ," 15,488.0000 ", 0.0126 ," 5,937.0000 ", 0.0029 ," 1,352.0000 "," 472,857.00 "
121,Mitchell, 0.1971 ," 1,596.0000 ", 0.7759 ," 6,282.0000 ", 0.0170 , 138.0000 , 0.0069 , 56.0000 , 0.0030 , 24.0000 ," 8,096.00 "
123,Montgomery, 0.3596 ," 4,150.0000 ", 0.6179 ," 7,130.0000 ", 0.0176 , 203.0000 , 0.0044 , 51.0000 , 0.0005 , 6.0000 ," 11,540.00 "
125,Moore, 0.3354 ," 16,328.0000 ", 0.6262 ," 30,487.0000 ", 0.0278 ," 1,354.0000 ", 0.0096 , 468.0000 , 0.0010 , 50.0000 ," 48,687.00 "
127,Nash, 0.4875 ," 23,235.0000 ", 0.4892 ," 23,318.0000 ", 0.0157 , 750.0000 , 0.0063 , 301.0000 , 0.0013 , 60.0000 ," 47,664.00 "
129,New Hanover, 0.4556 ," 50,975.0000 ", 0.4946 ," 55,340.0000 ", 0.0353 ," 3,949.0000 ", 0.0106 ," 1,184.0000 ", 0.0040 , 449.0000 ," 111,897.00 "
131,Northampton, 0.6239 ," 6,144.0000 ", 0.3637 ," 3,582.0000 ", 0.0094 , 93.0000 , 0.0029 , 29.0000 , -   , -   ," 9,848.00 "
133,Onslow, 0.3065 ," 17,514.0000 ", 0.6497 ," 37,122.0000 ", 0.0337 ," 1,926.0000 ", 0.0084 , 481.0000 , 0.0016 , 92.0000 ," 57,135.00 "
135,Orange, 0.7278 ," 59,923.0000 ", 0.2254 ," 18,557.0000 ", 0.0292 ," 2,404.0000 ", 0.0121 , 997.0000 , 0.0056 , 459.0000 ," 82,340.00 "
137,Pamlico, 0.3563 ," 2,448.0000 ", 0.6198 ," 4,258.0000 ", 0.0180 , 124.0000 , 0.0044 , 30.0000 , 0.0015 , 10.0000 ," 6,870.00 "
139,Pasquotank, 0.4954 ," 8,615.0000 ", 0.4704 ," 8,180.0000 ", 0.0254 , 442.0000 , 0.0070 , 122.0000 , 0.0018 , 32.0000 ," 17,391.00 "
141,Pender, 0.3354 ," 9,354.0000 ", 0.6326 ," 17,639.0000 ", 0.0245 , 683.0000 , 0.0056 , 157.0000 , 0.0019 , 52.0000 ," 27,885.00 "
143,Perquimans, 0.3457 ," 2,319.0000 ", 0.6227 ," 4,177.0000 ", 0.0242 , 162.0000 , 0.0064 , 43.0000 , 0.0010 , 7.0000 ," 6,708.00 "
145,Person, 0.3993 ," 7,832.0000 ", 0.5703 ," 11,185.0000 ", 0.0214 , 419.0000 , 0.0072 , 142.0000 , 0.0018 , 36.0000 ," 19,614.00 "
