"","state","county","cz","czname","hhinc_mean2000","mean_commutetime2000","frac_coll_plus2000","frac_coll_plus2010","foreign_share2010","med_hhinc1990","med_hhinc2016","poor_share2010","poor_share2000","poor_share1990","share_white2010","share_black2010","share_hisp2010","share_asian2010","share_black2000","share_white2000","share_hisp2000","share_asian2000","gsmn_math_g3_2013","rent_twobed2015","singleparent_share2010","singleparent_share1990","singleparent_share2000","traveltime15_2010","emp2000","mail_return_rate2010","ln_wage_growth_hs_grad","popdensity2010","popdensity2000","ann_avg_job_growth_2004_2013","job_density_2013","county_name","district","split","X","County.18.","Clinton.percentage","Clinton.Votes","Trump.percentage","Trump.Votes","Johnson.percentage","Johnson.Votes","Write.in.percentage","Write.in.Votes","Stein.percentage","Stein.Votes","Totals","Republican.percentage"
"11",37,21,1203,"Asheville",68803.836,22.517529,0.24685474,0.31056869,0.057127628,26599.3187454043,48308.8927819132,0.14761601,0.1148759,0.11079695,0.84442216,0.071412988,0.05981084,0.0086408248,0.076667547,0.87714356,0.027788665,0.0056082304,3.9648099,808.98865,0.31360501,0.21896601,0.29700941,0.3228043,0.61025524,80.825607,-0.023433438,362.91843,314.1582,0.011203189,182.77798,"Buncombe",11,"",21,"Buncombe",0.543," 75,421.0000 ",0.401," 55,694.0000 ",0.0308," 4,284.0000 ",0.0141," 1,958.0000 "," 0.0110 "," 1,534.0000 "," 138,891.00 ",0.62189833774994
"12",37,23,1002,"Morganton",62849.52,22.13019,0.12399881,0.15022808,0.047361754,25935.1778797097,39919.779875044,0.17501469,0.10695766,0.1004881,0.83016545,0.073004663,0.050972369,0.0053173006,0.068157859,0.85168946,0.034393765,0.0052058399,3.4825852,554.50366,0.31327268,0.22015883,0.27613825,0.32874745,0.62061322,82.251694,0.085345306,179.27789,175.78304,-0.007691911,72.531898,"Burke",5,"",23,"Burke",0.2891," 11,251.0000 ",0.6742," 26,238.0000 ",0.0254," 988.0000 ",0.0083," 324.0000 "," 0.0031 "," 119.0000 "," 38,920.00 ",0.456566444475961
"13",37,25,900,"Charlotte",85011.617,28.995892,0.20302609,0.24212059,0.071884446,33330.0784671254,63532.0876350338,0.10990566,0.064336941,0.066594221,0.71639395,0.15897894,0.094190806,0.015703626,0.11119887,0.82848543,0.042934392,0.0071482589,3.9108186,791.51404,0.26425952,0.16765815,0.22083776,0.24799603,0.67750561,81.16391,-0.12818111,492.08157,362.30106,0.018805454,235.54601,"Cabarrus",8,"",25,"Cabarrus",0.3808," 35,510.0000 ",0.5769," 53,789.0000 ",0.0299," 2,784.0000 ",0.0104," 972.0000 "," 0.0020 "," 190.0000 "," 93,245.00 ",0.441790956875101
"14",37,27,1100,"Hickory",62886.926,22.422911,0.10536645,0.1224172,0.024397463,26557.2261714424,37948.626214937,0.16257903,0.10547487,0.10225758,0.88601571,0.055558901,0.045718964,0.0034376716,0.051835008,0.91356367,0.024191726,0.0025592078,3.2626514,613.36267,0.30827034,0.20800726,0.27130917,0.30820251,0.65480381,83.226578,0.06605316,176.0708,164.164,-0.012687414,69.739975,"Caldwell",5,"",27,"Caldwell",0.232," 8,425.0000 ",0.733," 26,621.0000 ",0.0234," 849.0000 ",0.0083," 302.0000 "," 0.0034 "," 123.0000 "," 36,320.00 ",0.33043542326678
"15",37,29,2000,"Virginia Beach",70112.258,33.662029,0.16205451,0.1899903,0.025442634,26699,60594.1591182365,0.093036205,0.10058395,0.16055046,0.8119238,0.13857715,0.021543087,0.013038709,0.1741467,0.80116189,0.0071169208,0.0056644878,3.6434321,1029.0469,0.17337865,0.11614731,0.19262782,0.19911994,0.5718767,81.419884,NA,41.487221,28.621193,0.0042696344,17.459553,"Camden",3,"",29,"Camden",0.2545," 1,274.0000 ",0.7083," 3,546.0000 ",0.0298," 149.0000 ",0.0058," 29.0000 "," 0.0016 "," 8.0000 "," 5,006.00 ",0.489381636477202
"16",37,31,1900,"Jacksonville",70525.727,24.174536,0.19114831,0.22695434,0.035568096,25894.6956025258,51708.28347049,0.12099464,0.10686415,0.11134694,0.87410671,0.067595422,0.033714965,0.0074456711,0.072131537,0.8930372,0.017729998,0.0051254542,3.7144456,780.75018,0.32375252,0.17725991,0.27627656,0.32599032,0.56235063,83.926514,-0.47908702,137.24503,122.61451,-0.0056832372,56.781998,"Carteret",3,"",31,"Carteret",0.2631," 9,939.0000 ",0.7032," 26,569.0000 ",0.0242," 913.0000 ",0.0074," 278.0000 "," 0.0022 "," 82.0000 "," 37,781.00 ",0.342461730479792
"17",37,33,500,"Greensboro",60193.129,31.856672,0.082713313,0.11042668,0.014202325,23124.3599214434,38056.9937181163,0.22446904,0.14579257,0.16113573,0.61187232,0.346136,0.031367257,0.0022644927,0.36726302,0.60700196,0.017675394,0.0012105708,3.3292782,481.1777,0.40232652,0.22821967,0.28728506,0.19589369,0.5490995,85.154015,NA,55.819527,55.295277,-0.010309955,21.112061,"Caswell",13,"",33,"Caswell",0.4328," 4,792.0000 ",0.5444," 6,027.0000 ",0.0193," 214.0000 ",0.0026," 29.0000 "," 0.0008 "," 9.0000 "," 11,071.00 ",0.673721952347907
"18",37,35,1100,"Hickory",74233.477,22.180447,0.16914427,0.19246383,0.068217948,29777.7147594955,47173.8168348903,0.12458977,0.08866626,0.066103444,0.77992719,0.092129983,0.084427111,0.0092931893,0.080810159,0.82935816,0.053295501,0.0078690816,3.3338158,645.83063,0.29881388,0.19910295,0.26266432,0.33583611,0.68136662,82.158676,0.047154862,387.1319,355.37973,-0.0041094376,174.43481,"Catawba",10,"",35,"Catawba",0.2932," 21,216.0000 ",0.6679," 48,324.0000 ",0.0273," 1,973.0000 ",0.0095," 685.0000 "," 0.0021 "," 153.0000 "," 72,351.00 ",0.337944926930313
"19",37,37,1701,"Raleigh",82048.875,29.066729,0.29086074,0.347009,0.1012047,28731.0505631512,59256.3338319817,0.11952188,0.093598709,0.092788182,0.71151876,0.13732778,0.1295646,0.0093589844,0.1694725,0.72559381,0.08967308,0.0053804922,3.8109055,776.87988,0.24192064,0.22598876,0.23292017,0.27621448,0.63585746,84.564178,0.059028771,93.090584,72.306107,0.002919985,43.353344,"Chatham-a",4,"y",37,"Chatham",0.5286," 21,065.0000 ",0.4292," 17,105.0000 ",0.0284," 1,130.0000 ",0.0103," 412.0000 "," 0.0034 "," 137.0000 "," 39,849.00 ",0.609606304803152
"20",37,37,1701,"Raleigh",82048.875,29.066729,0.29086074,0.347009,0.1012047,28731.0505631512,59256.3338319817,0.11952188,0.093598709,0.092788182,0.71151876,0.13732778,0.1295646,0.0093589844,0.1694725,0.72559381,0.08967308,0.0053804922,3.8109055,776.87988,0.24192064,0.22598876,0.23292017,0.27621448,0.63585746,84.564178,0.059028771,93.090584,72.306107,0.002919985,43.353344,"Chatham-b",13,"y",37,"Chatham",0.5286," 21,065.0000 ",0.4292," 17,105.0000 ",0.0284," 1,130.0000 ",0.0103," 412.0000 "," 0.0034 "," 137.0000 "," 39,849.00 ",0.609606304803152
